,Unnamed: 0,id,sentence,label,codemixed
113,5756,89574,@USER Nope he is called SHAZAM too,NOT,0
114,9100,77254,@USER Thanks and you are a good looking young man and hopefully will find yourself a loving beautiful young man to love and love you.,NOT,0
117,10101,11977,"@USER @USER Billionaires making donations to Democrats don't help advance any left wing causes, they simply cause Democrats to act in the interest of billionaires, just like Republicans, regardless of the absurd conspiracy theories Alex Jones and PJW tell liberals"" like you.""",NOT,0
118,2447,33883,@USER He had to fuck up. You can only give a guy so many chances no matter how talented he is,NOT,0
119,1769,63141,@USER @USER needs to get over it. It’s been 5 years since he hasn’t played for the birds. Move on already. There is hardly anyone still on the team from when he played with the Birds. He is starting to sound bitter that he doesn’t have a ring,NOT,0
120,4618,12398,@USER A Bernie supporter tried to assassinate #Republican Congressmen; another assassination attempt in CA; Sen Paul attacked @ his home; Trump cabinet members &amp; supporters harassed/attacked all over the country; when will a single #Democrats speak out? Bob? @USER,NOT,0
121,128,11255,"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.""""",NOT,0
122,135,81119,@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!,NOT,0
123,5526,76125,@USER I am the ANTIFA Super Soldier,NOT,0
124,8361,20038,@USER @USER @USER @USER Everyone has a life story - that is no excuse for being aggressive. If anyone is to blame it is the producer for inviting KW onto the show. She is clearly not well &amp; shouldn’t have been put in a position where that could happen. Her management should not have allowed it either!,OFF,0
125,3447,23299,@USER @USER The truth of it is that unless she has evidence than it's only allegations! If there is no proof than it is only 'what she says' against 'what he says'! She doesn't get marks for truthfulness just because she is a woman; because women can lie just as quickly as a man can!,NOT,0
126,4523,63616,@USER Why are people exressing 'shock' at what a majority government does when in government? This is a fact of life. I.E: Check out what the Liberals both previously provincially and currently federally did and do. Hello.,NOT,0
128,599,66631,@USER But I thought Antifa were actually fascists but this shows Rethuglicans are the actual fascists in the room.,OFF,0
129,9113,58352,@USER @USER You are not 'Progressive' without Palestine. #BDS URL,NOT,0
131,2426,39573,@USER Aww she is so beautiful as always,NOT,0
132,6063,16311,@USER man can we hang out you are hilarious,NOT,0
135,9202,43465,@USER He is the worst speaker ever!,OFF,0
138,4833,26534,@USER @USER It’s weird how conservatives sometimes get accused of lacking empathy.,NOT,0
139,4067,86479,@USER Gun control is not about guns. Gun control is about control.,NOT,0
142,7896,20074,@USER @USER The liberals will stop at nothing.,NOT,0
143,7748,19000,@USER Haha true. She is sad but doesn’t need the validation so just let her and her followers keep spreading the hate they have for truth.,NOT,0
144,1342,11317,@USER Need gun control to many,NOT,0
150,3295,24967,@USER @USER homer losing his boner over this is very petty there was a resemblance but again even if she is if they aren't shoving it in our face then its okay,OFF,0
151,4521,99821,"@USER Bill O'REILLY, it can happen because, people like you will not speak out Against YOUR"" POTUS AND NRA about GUN control!!!""",OFF,0
152,11780,79248,@USER What the hell are you talking about? The only threats are coming from gun control nuts made against her kids.,OFF,0
153,2790,74099,@USER You’re from my state. What is your view on gun control?,NOT,0
155,1871,39748,@USER @USER Ah yes just get a better job. You realize the majority of new job growth is in service industry? And with how expensive student loans are college is less and less realistic for people.,NOT,0
156,6346,84836,"@USER @USER @USER @USER @USER @USER Also not correct. But, the some of the safest US cities does not have strict gun control laws. (Side-note: You can not believe one word that *Michael Moore preaches in any of his documentaries."") This video is a bit of an eye-opener: URL",NOT,0
157,961,10698,@USER Don’t expect common sense from Liberals.,NOT,0
159,13166,84499,@USER Agree. That’s hatred beyond compare. Her feeling of bitterness of the Duterte Presidency and its success is evident on her tweets and articles. 2016 was really a slap on the face on the “yellow intellectuals” .,OFF,0
160,10236,11200,@USER @USER @USER @USER At least you are honest about wanting a nationwide gun ban. I give you credit for that. And the only place you can show that gun control works is in an environment with controlled access. Of course gun control works if the only access to a place is through metal detectors.,OFF,0
162,1527,88540,@USER @USER If the NDP were to get 26% then @USER would win because the gains by both the NDP and PCs are directly from the Liberals. However I doubt the NDP get over 20%. I had Ches at the start but he performed really bad in the debates but then again there is a lot of ?s about 1/,NOT,0
163,429,98137,@USER @USER @USER How could anyone want to vote for a Democrat who wants open borders and gun control,NOT,0
164,8600,84000,@USER Migration advisory committee says immigration has had no impact on infrastructure or services. So could it be @USER cuts instead?,NOT,0
165,7966,95913,@USER Trump will blame it on the immigrants for coming and 'liberals' for noticing. He likely thinks Head Start/HIV are wasteful spending. Comgress can no longer pass 'broad' budgets.  They will need to itemize every $ and forbid diversion without Congressional permission,NOT,0
166,7173,41732,@USER That's cause she's got (head wave) at least 50 or so pounds and a couple inches or feet on her so it's okay. Not to mention Miley doesnt look the fighting type. (IDK if she is or not),NOT,0
168,8957,43615,@USER What the fuck? You don’t care about your friend? You are not a real friend then 🤦🏽‍♂️ he not losing anyone special then cuz you can’t even be a real friend and that’s sad,OFF,0
169,4017,40075,@USER I wasn’t calling you out... i was genuinely surprised like live legit made a mode that you are loving and i love to see that... it wasn’t anything more than that. I apologize if you took it another way,NOT,0
171,6093,11428,@USER Here she is! Gotten real big 😱 URL,NOT,0
172,8916,37498,take me back to doing boomerangs in maga with 2 pints by my side at any one time :( x URL,NOT,0
174,12177,66012,@USER @USER What really pisses me off about Asians in California voting for more gun control is that many should know better especially Koreans in LA. They all knew someone who had their businesses destroyed during the riots. At least this salty boi hasn’t forgotten: URL,NOT,0
175,7521,35251,@USER I'll bet she is a liberal democrat.,NOT,0
176,6554,56273,"@USER YOU CAN'T TELL ME WHAT THE FUCK I CAN AND CAN'T DO!""  *whips out binoculars*""",NOT,0
177,13237,82921,@USER And why report this garbage.  We don't give a crap.,OFF,0
179,6022,85653,@USER And I’ll never watch another movie with him in it,NOT,0
180,12015,71322,9. You are cute all the time URL,NOT,0
182,2282,46880,@USER Idk if she is but shes black coded....the bonet sets it off,NOT,0
184,12298,94239,@USER I love your momma. She is me,NOT,0
185,11322,88542,@USER Every one is on these social media platforms arguing about who is racist and who isn't while the powers that be manipulate it to push their agendas and gain power.  And shit.  I know exactly what ur saying im pretty liberal guy and i can't stand the racism discussions.,OFF,0
186,4064,63106,@USER You obviously have no clue and CLEARLY you are not American! China became the largest foreign holder of US Debt in September 2008. They have been a major holder of US  since at least 2000. YOU ARE WHATS WRIND WITH AMERICA URL,NOT,0
190,1830,29024,@USER How dare you tell me what Antifa is doing is right. They are not fighting facism they are fighting for their own stupid cause. They are further from fixing facism than the republicans themselves,OFF,0
192,2685,93020,@USER And sadly Anna decent fair minded One Nation Conservatives like you seem to be an endangered species in your Party. How can Tory grass roots support a man with Boris Johnson’s record on morality and standards? Or a caricature like Mogg?,NOT,0
193,4049,88930,"@USER England averages 26 gun murders per year. It is hilarious that you imply gun control doesnt work in the UK. This must be what Trump call Fake News"".""",NOT,0
194,5108,82136,@USER @USER Why didn't she save her grandfather in Puerto Rico if she had that kind of cash? Bc She is socialist.,NOT,0
198,4888,50718,@USER @USER  FELON ERIC HOLDER  SHOULD BE ROTTING IN PRISON FOR HIS CRIMES. URL,NOT,0
199,10068,22012,"@USER @USER I don't believe an Elk could grip a rifle even if it could purchase one.  Although you would probably want sensible gun control laws"" on anything the Elk could purchase to defend itself.  Sad.""",NOT,0
201,3392,70822,@USER She is an monster!,OFF,0
202,11706,16069,@USER @USER @USER She probably did not think it would get this far. I hope the little sleaze does not go to the hearing and I hope if she does that they will prove what a liar conniving witch she and the rest of the Liberals are.,OFF,0
204,1982,43057,"@USER @USER The racist excuse every time telling it like it is"" ""against being PC"" URL",NOT,0
205,6871,58583,#MichaelChe THIS GUY thunks only White Repubs &amp; crackheads Thank Jesus Guess you don’t like Christian’s money do you buddy?! Good luck Mike trying to have a lavish style off the backs of liberals 😂😂 URL @USER 👎🏼,NOT,0
206,3750,94554,@USER You are a Communist state controlled newspaper.   Very much like #ANTIFA would love to see.   And your country executes people who dissent with your support.   Enough said.   Get off my twitter stream,OFF,0
207,7768,10582,@USER @USER Please could the author of this brill  article  do something to rescue us and brexit from this remainiac of a Pm who will enslave us forever under unelected commsion federal fanatics  Plus the conservatives can say farewell to gov for at least  5 yrs. who could trust the tories ?,NOT,0
209,5525,52722,#Liberal #activist calls for #banning #MEN via “man control” since gun control isn’t having the desired effect – URL URL,NOT,0
212,3534,29316,@USER @USER I’ve never once heard you be thankful. All you do is shit on Canada. On the police. On our history. On Conservatives.,OFF,0
214,5804,15807,@USER @USER Have not spent one dime on NFL. NO TICKETS. NO MERCHANDISE. NO TV TIME. My Football Day is Saturday. College Gameday is incredible,NOT,0
218,7411,61909,"@USER @USER This is absurd. Read more about the history, politics, and true belifs of fascism. Antifa do not/cannot do the bidding of ruling class because that's what fascism is for aka bootlickers. And u.s. liberals"" have always been right leaning.""",NOT,0
220,10065,45210,@USER @USER @USER @USER I’m just saying he’s not playing like how he should be for the amount he’s getting paid I’m sorry to let you down. URL,NOT,0
221,5260,26624,@USER @USER NO REAL AMERICAN WOULD WATCH THIS CRAP,OFF,0
223,3592,21381,@USER been supporting ur game for years as u know its about time u giys was free and able to communicate like you are doing &lt;3 hopefully only up from here brother,NOT,0
224,12415,82672,@USER Rosier has played like straight fucking garbage i mean he was tolerable at most during the undefeated run last year but ever since Pitt he’s shown how much of a scrub he is and Richt is scared to death to start Perry,OFF,0
225,167,69232,@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.,NOT,0
226,6268,55866,@USER @USER Two words I thought I would never hear together #ticats and cornhole,NOT,0
227,11821,45055,@USER @USER Gun control laws that don't have any control on guns.  Hopefully a new mayor and government support can help the city. God bless this woman and her family.,NOT,0
228,3121,32524,@USER Fuck off,OFF,0
229,2937,85053,@USER Put your stance on gun control on your website.,NOT,0
231,7472,98130,@USER Seriously?! Do you really believe your own crap? Why don’t you just move on if she is so offensive. This ugly side to you is very unbecoming😞,OFF,0
232,12708,22252,@USER Professors at Liberal Colleges by Day &amp; Antifa by Night.,NOT,0
233,12771,69197,@USER @USER Sad to say.  You are right.  Awful that you have to even consider the issue.  I pray for you and your family.,NOT,0
234,7425,62931,@USER @USER Lmao please show me the proof of all you state. Not what I said on CNN. Facts just the facts. Like I said funny all this pops up when all the other stunts didn’t stop the vote. If she is serious she can recall the house how she got there and all the important info. Not that it,NOT,0
237,7422,39148,@USER Another funny thing is how they refer favorably to Japan because of gun control but admonish Japan for their refugee policies 🤔🤔,NOT,0
239,10114,29535,@USER Leave it to CBC to turn a bad story for the libs into a critical piece on the conservatives,NOT,0
243,9114,75967,@USER @USER Excuse me? They got what they had before the hurricane.  Expecting tract houses when you had lean to's and expecting honorable people likeTrump with the corruption they continue to vote in?!? Wake up.  He is flushing the swamp here and they need to flush their swamp there.,OFF,0
244,713,22304,"@USER Al Franken had a photo of him assaulting a woman and liberals called it mock groping"". The woman accusing Kavanaugh already changed her story from four guys to two at the alleged incident and won't even testify.""",NOT,0
246,9192,95678,@USER Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,NOT,0
247,4415,50639,@USER @USER @USER @USER @USER @USER @USER @USER Its legal in India and if you adult women only you have to sign it you don't need the other person signature why this rabble rousing in India take it to Vatican &amp; Ireland etc @USER take it where it's  banned Church preachers not to do abortion even if you are raped??,NOT,0
248,6566,16614,@USER @USER @USER Obvious to whom?  Only to those who do not clean up the inside of their cup. You see skin color b/c you are projecting onto others.. many do not live their lives being or seeing color.  Many of us have mixed families- How does that fit into your b/s conclusion? URL,NOT,0
249,4891,64009,@USER @USER Stop Collins. There is someone who will support woman. @USER  Dr Cat London. She is opposing Collins and we can end the BS. All she needs to do is clean out her desk and go home.,NOT,0
251,8683,13908,@USER And Bill Maher should try getting back into comedy.,NOT,0
254,2411,60301,@USER @USER @USER @USER Yet they haven't. How do you know they are actually antifa members and not far right pretending to be violent antifa to make people like you think they are so dangerous.   🤔 Hmm,NOT,0
256,7401,73958,#cdnpoli How can anyone expect the Liberals to follow their own rules?  Rules are for other people aren't they?  The governing Liberals have allowed... URL,NOT,0
257,10452,97062,@USER @USER I feel sorry for liberals after Far-left hijacked their name,NOT,0
258,11468,77354,@USER Character assassinations are a survival technique for liberals,NOT,0
259,5404,32568,@USER @USER I continue to be concerned that our country’s gun control laws are not good enough to protect our children. I will only vote for the party that is willing to address this issue.,OFF,0
262,11222,96893,@USER A recycled tweet to stir the passions of men who watch porn and strangely insult the women who make it.  Well done BB.,NOT,0
263,12713,83283,@USER The democrat years in power. We remember those women well. Too bad liberals are hypocrites of the worst kind.,OFF,0
264,13178,59918,@USER @USER @USER @USER @USER She raps likes she will pop off but the only thing she popped was her butt implant. Now Remy is skinner than her even while pregnant URL,OFF,0
265,1274,54987,@USER republicans /conservatives are the most disgusting people,OFF,0
266,13034,76859,@USER @USER @USER I guess it means it's time to show  that the UK can be united. Enough of divisions and circular arguments.,NOT,0
267,3500,50419,@USER Just listening to Juan Williams on the FIVE drives me crazy.  He is such an ignorant man.  Where does this man get his facts?  Thank GOD for Jesse Waters and you ladies!,OFF,0
272,11263,82666,@USER He is telling you he knows where his bum is. Writes “ass” with his bottom. What more proof of higher intelligence do you need?,OFF,0
274,2532,17535,"@USER Not gonna have much choice when people keep waking up and start voting against you. What exactly is an antifa meeting?  Can you describe what and antifa"" is?""",NOT,0
278,1338,21146,@USER They embraced Antifa. Career killer.,OFF,0
279,962,23094,@USER Nobody cares what @USER thinks or wants. She wasn’t elected haha. And she’s not helping her party either so stay out there your only helping the conservatives Progressives DONT LIKE YOU,NOT,0
280,10024,58154,@USER I hate politics! You #CNN are despicable. Liberals are treating Judge Kavanaugh  like he’s some sort of serial rapist that they’ve captured at last. #RedWave #voteyes #innocent until proven guilty.,OFF,0
281,12581,51765,@USER I guess I'd like to see more thought put into if these are such nothing burgers then why were they made confidential? I really don't know why you are going after him with this series of tweets? Chair is misleading the public about amount of disclosure &amp; threatening a sen.,NOT,0
282,10966,30565,@USER @USER Yes. And you wouldn't accept that you're better. Because that's just how nice you are.,NOT,0
284,7387,23779,@USER Just ask them how does having some of the toughest gun control laws working out for chicago,NOT,0
288,6970,13288,"@USER @USER No, you moved the goalposts from libs"" - a group that includes BLM, which actually has burned down neighborhoods - to Antifa specifically, which has only merely attempted to.  And if you can't point to conservative groups burning down neighborhoods (like BLM has) or attempting -""",NOT,0
291,8675,19662,@USER The Klan was the militant arm of the Democrat Party.  I haven’t seen a past member in public since Sen Byrd died.  Antifa is the new militant arm.,NOT,0
293,10435,22188,@USER You are the most talented person I have ever met in my life. please stay healthy and do not get sick.  You are an extraordinary being that shines with its own light.            I LOVE YOU SO MUCH BABY !! 💜❤💜,NOT,0
297,5707,26243,@USER What was an abuse of power was all the crap you and the Hussein gang pulled off.  Your big contribution was the Fast and Furious caper to bring in gun control in strict contravention of the 2nd amendment.  But don’t worry.  Justice is coming for you and Barry’s band of outlaws.,OFF,0
298,1143,55726,@USER  people are awake. Projection is no longer a tactic that Liberals can successfully use.,NOT,0
301,12607,74840,@USER Fuck em all. Complete morons,OFF,0
305,4653,35393,@USER Body cams with a long battery life on your children when left with strangers.,NOT,0
306,4784,99629,@USER Doesn’t the University of Wisconsin have entrance requirements or do they take anyone rejected by other Universities?,NOT,0
307,3366,10495,A new bill aims to send masked Antifa activists to jail for 15 years URL,NOT,0
308,10699,63305,@USER He’s more qualified than all of you Obama folks put together!,OFF,0
310,10823,52603,@USER @USER Saw u on Hannity last night. Want u to know I love your Dad and know everything he has sacrificed for us. He is to me the greatest President in my lifetime and in modern history. I so wish I could tell him. I would probably ugly cry though. He is a Godsend to this country.,NOT,0
311,693,46678,@USER You turn a dull Tuesday night into a super sexy one! So hot! 🔥🔥🔥,OFF,0
312,4887,40773,@USER @USER Liberals didn't want to hear from Juanita Broderick or Keith Ellison's accuser why not? Are they being ignored,NOT,0
314,11249,27314,@USER Good.,NOT,0
315,3402,97102,@USER @USER I would think that if the pope was really a man of God he would have taken care of this problem in the Catholic Church instead of trying to cover it up,NOT,0
316,10268,66001,#MediaBias with persecution of #Conservatives while they ignore criminality from #Democrats is Obscene and is the reason most people call #CNN and #MSNBC #FakeNews,NOT,0
319,9977,32335,@USER None. Gun control is a proven failure. Just like in Mexico. Rather we need to reintroduce moral teaching into schools and fix our Brocken mental health system.,NOT,0
320,5509,13111,@USER Then why are you on my page? Why don't you stick with your merry trump mates if you think you can get a rise out of me you are sadly mistaken about that and other things,NOT,0
322,8015,20359,@USER He has the msm covering up,NOT,0
324,9946,33730,@USER @USER They’re doing it deliberately get rid of the minions problem solved they couldn’t give a monkeys.,NOT,0
325,13109,58415,@USER @USER She held on to something “almost” happening (according to her) for 35 yrs and then decides to try and ruin his life?   She is the despicable.  Regardless of what did or didn’t happen.,NOT,0
326,12001,20276,@USER By arguing a call? The media and you are making it a big deal,NOT,0
328,6826,46263,@USER He is a lying stack of shit too.,OFF,0
329,13145,66542,@USER @USER Christine Ford is an admitted friend to Bernie Saunders and she is Known to Hobnob with other demo politicians! Most shocking word is Kavanaughs mom a Judge ruled against Fords parents in a forclosure case in mid 90s🤔,NOT,0
330,3014,26457,@USER @USER @USER @USER is not a difficult woman she is a far left leaning bitch. She has no place in unbiased commentary on any platform. Get rid of her.,OFF,0
331,6944,30611,@USER and @USER you need to find this lady! Do your thing. She is a terrorist waiting to strike. URL,OFF,0
332,1223,49383,@USER sis Mandys no nose havin ass from the grim adventures of billy and Mandy can smell that shit wheeew URL,OFF,0
333,1928,98282,"@USER @USER @USER @USER @USER @USER 36 years ago I was sexually assaulted by a Supreme Court nominee, but I would like to remain anonymous so that I don't have to answer questions. This is basically a smear campaign because I am a democrat and don't want conservatives with a majority on SCOTUS.""""",OFF,0
336,2943,48171,@USER @USER @USER Are you guys really still supporting the @USER party that suspended you all because you went into coalition with the @USER  Deary me Talk about desperation to be noticed,NOT,0
337,11938,13824,@USER Mom better watch out for the Moron's hands. He has at least 17 accusation of sexual harassment charges. He is also affected by Pee stained skin due to his liking to be peed on!,OFF,0
339,12156,18432,@USER 😂😂 exaggerating so much! You are appreciated.,NOT,0
340,2356,41554,@USER She is so despicable!,OFF,0
342,12341,41937,@USER I was kind of shocked. He is gone now. From my feed at least,NOT,0
344,2410,13744,@USER I don't mind her going to a sleepover! As long she is safe and protected!!,NOT,0
345,5272,51766,@USER many thanks to Karel in banquet services - he is treating our ONA student newsroom team sooooo well. We really appreciate the whole team!,NOT,0
347,8943,46541,@USER Brave enough to say it?! Your late to the party fat boy. Ppl been calling POTUS a nazi for a while now. Smh,NOT,0
348,4973,13930,#MorningJoe the closer it gets to monday the louder the liberals will squeal.,NOT,0
353,9947,78965,@USER Or the ones we lose when the NRA challenges reasonable gun control measures as unconstitutional as they did the new laws that the #Parkland kids helped get passed in FL.,NOT,0
354,8183,62634,@USER Anyone supporting nike or kap is antiAmerican URL,NOT,0
355,6580,24896,@USER Looks like my Sylvester and he looks like a skunk. Love him to pieces though. He is so sweet. My girl cat has a unique personality. She is sweet but has her moments.,NOT,0
356,4746,61772,@USER @USER She is absolutely amazing ♥️,NOT,0
357,3787,59041,@USER @USER I'll defend him. I think the CA professor is a lying liberals pile of horse dung. There.,NOT,0
358,3462,40911,"@USER @USER @USER @USER @USER @USER Arms"" WERE/ARE TO BE REGULATED BY LAW—those regulations aimed at near-universal armament/training with contemporary military grade design ""Arms"" personally owned/possessed &amp; kept in the HOME—by ""the people"" #2A that is CONSTITUTIONAL ""gun control"".""",NOT,0
359,10169,77032,@USER @USER Great information!!! My husband has a SMI. We are very thankful he is doing ok. Many are not and it is heartbreaking. I was diagnosed almost 25 yrs. ago and we don't seem to have made much progress in all that time. I learned a lot from you. Thank you!!,NOT,0
361,7649,26843,.@USER absolutely right to not propose another referendum.  .@USER are not in power &amp; we are not negotiating.   It’s for @USER to make Brexit work; it belongs to them.  If they can’t do that then @USER should call a General Election.  Labour are ready. URL,NOT,0
362,12625,16036,@USER I liked it in a so bad it's good way. She is so miscast it's amazing,NOT,0
365,6517,71395,@USER @USER The definition of snowflake,NOT,0
366,7821,78670,"@USER Conservatives, if you are not a gun"" person, I believe you need to become one. If these Nov. elections don't go well for the Dishonest Dems, I think the violence will get worse. All Conservatives will need to be able to defend themselves and their loved ones.""",OFF,0
367,5501,52534,"@USER @USER Tons of self-professed conservatives have unwittingly embraced the key tenets of Feminism without even realizing it. The average conservative"" woman of 2018 is more liberal than the average liberal woman of 60 years ago.""",NOT,0
