,Unnamed: 0,id,sentence,label,codemixed
253,2140,85728,@USER If Gov't remains status quo we can Kiss our new found wealth goodbye! OPEN AND TRANSPARENT! NOTHING LESS! Thanks to @USER for having a spine! #MAGA #PURGE #Buildthewall #SundayFunday #NEWS #FAKENEWS #MEDIA #business @USER @USER #FOXNEWS @USER,NOT,1
255,8716,64830,@USER @USER live dangerously,NOT,1
260,7614,34518,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Why do you keep telling this lie? There WERE ppl there that did not belong to Antifa/KKK that were just there supporting or not supporting the statues staying or going.#Dems love repeating lies because they have nothing else. Do you repeat hands up don't shoot too? Probably.,NOT,1
261,4639,13533,@USER @USER @USER @USER @USER @USER @USER But do you speak up?  Trump and his family have become a punching bag for the left.  And this is the best we have done in a very long time.  I left the party after ANTIFA jumped in ...also they almost elected Hillary.  Hillary!! 😳,NOT,1
268,3695,41636,@USER @USER she is not related to him its weird lmao,NOT,1
269,12410,48808,@USER and THEY are #Conservatives.,NOT,1
270,9548,64540,@USER @USER @USER @USER It to t dd,NOT,1
271,784,45019,@USER HAHAHAHA omg these people. They thought they would have their way FOREVER.  Idiots,OFF,1
273,298,22879,@USER @USER @USER @USER It’s called educating liberals.,NOT,1
275,1200,75566,@USER @USER @USER Thanks for the resistance boycott any means nessasary losers they Hollywood MSM Rinos Google Facebook and Twitter China Jack Black haters ANTIFA are ruining our country enough we need a wall,NOT,1
276,11096,60373,@USER @USER @USER @USER @USER @USER @USER Far-right attacks and plots FAR outnumber antifa counterprotests and attacks. This is documented.,NOT,1
277,5549,41408,@USER @USER @USER @USER Im not saying he is racist.. Im saying he made a mistake. And she is only half Japanese. Her father is Haitian so she is half / half if we being true!,NOT,1
283,2572,87038,@USER Hopefully this kind of outrageous behavior will motivate Senator Collins to vote FOR the appointment of Judge Kavanaugh.  Disgraceful libtards.,NOT,1
285,1521,25149,@USER EXACTLY!  Nice 😊,NOT,1
286,1011,39443,@USER @USER Ilegal Invader Kills 13-Year-Old Canadian Girl,NOT,1
287,9018,57973,@USER @USER This clown need maga listeners.   Nothing more nothing less.   Total fraud.,OFF,1
289,6007,74924,@USER Liberals are claustrophobic? 😬,OFF,1
290,9323,40458,@USER Proud of President Trump!!! MAGA TRUMP 2020 URL,NOT,1
292,3076,73934,@USER Now that's what I call an Antifa Supersoldier,NOT,1
294,3903,69946,#torylies #PeoplesVote  #StopBrexit  @USER  False news URL,NOT,1
295,12534,67170,@USER It's all liberals have.  It's all they ever had.  They see everything through the prism of race.,NOT,1
296,497,95987,#fordnation #onpoli #Conservatives #Conservative #onpc  Just because you can doesn't mean you should. Great power comes with great responsibility. By invoking art. 33 and overriding our judicial processes you're overriding our democracy.  URL,OFF,1
299,1432,78008,@USER @USER @USER Nobody will kill or beat her!  Cheap tectics to become popular LGBT Tikoo.  She can follow SUNNY LEONE also: she is popular not only in India but world😴  Best of Luck and hope to see both of ur videos together:   Sri Krisna will definetly make ur next video popular. Have fun🙏,OFF,1
300,11259,98361,@USER @USER @USER he should withdraw.he is hurtng gop chances I URL is a credible person.the judge is suspect,NOT,1
302,7467,94862,...and then there's this: URL  #TRUMPARMY🇺🇸© @USER #AllVetsRadio #VOC #TheBrooksBrown✔️ #MAGA❤️🇺🇸 @USER @USER  @USER  @USER  @USER URL,NOT,1
303,2851,70482,@USER @USER 😂😂😂😂 thanks for the history lesson. Excuses and talking about past games make today even better. You are only as good as your last game...,NOT,1
304,9659,40140,@USER @USER @USER @USER @USER @USER @USER I cited the Constitution. That’s not good enough for you?,NOT,1
309,4351,31585,@USER @USER Boycott NFL Continues 👍,NOT,1
313,11039,88884,@USER @USER @USER @USER @USER Antifa isn't democrat. BLM is mostly peaceful,NOT,1
317,8581,32646,@USER @USER Exactly. Well said! #MAGA,NOT,1
318,10692,88334,@USER @USER As Fat as he is President Trump will be the last President Moore Ever See's,NOT,1
321,10257,45744,@USER I do i do buh if u really know me you would know Khabib is my guyyyy. He is gonna make him humble,NOT,1
323,117,69160,@USER The laughs I’ve gotten from you are enough. 😌,NOT,1
327,2196,83154,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Just blocked a 4th.  So much easier and you know it drives them nuts 🤣,NOT,1
334,12564,31306,#Tennessee #Conservatives #RNRTN #2ADefenders #Republicans #ProLifeGen #TNGOP #Libertarians #ProLife #Gaytriots #RNR #CCOT Are YOU doing your part to grow?  Are YOU registering voters?  Planned Parenthood is. Pause. Think about that .  It speaks volumes.  URL,NOT,1
335,12856,65402,@USER @USER @USER Look Ellen.... I am not a socialist commie... you are the one for government Universal Health Care bigger government gun control and free colleges. I am American I'm for capitalism,OFF,1
338,2397,29558,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Even pedophiles in interviews will tell you the only way to stop them is to kill them. Pedophiles even admit to when out of prison they will offend again and that’s what keeps them alive in prison... the hope of another opportunity to molest an innocent child. They are sick f*cks,OFF,1
341,1852,42557,@USER @USER @USER He is a big lump of —-I agree 100%,OFF,1
343,6103,68937,@USER @USER @USER 🤣🤣 because they don’t exist!,NOT,1
346,2860,34378,",...Criminal Complicity in ALL OF THIS MESS! --- Last night, Mr. Gregg Jarrett appeared on Hannity""!,...He is Always Incredible, and He made Another Great point when He reminded All Of US that ""Starting an illegitimate Investigation is a Crime""! ---  TRUTH IS COMING OUT MUELLER!""",OFF,1
349,2466,33441,@USER But you are much prettier .🌞,NOT,1
350,7658,65961,@USER It's fine..... he's gods Prophet 🙄imagine that nowadays... yes officer i did fuck that elementary student BUT its fine bc god said i could....,NOT,1
351,11402,61480,@USER He's worried about his bottom line that's what upsets him,NOT,1
352,1912,52389,@USER SEE I TOLD YOU!!!!!! SHE IS DESPICABLE!!!!!!!!!!!!,NOT,1
360,12813,99396,@USER @USER @USER Stop lying liberals. He said that is absolutely nuts,OFF,1
363,10639,48218,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I dunno. I know who he is but I don't interact directly with him a lot. 🤷‍♂️,NOT,1
364,4558,50643,@USER 3D vs Digital 》 War on Reality 》 Going WHITE-HOT  We're now entering / the fight between&gt; Red-blooded humans in 3D /boots-on-the-ground reporters/ VS Avatar Digital AI /CGI Hollywood False Reality Reporting/ Polytechno-Fascists-Avatar-Digital Non-Reality URL,NOT,1
369,9174,85632,@USER And she knows because the witch was there?  Another fake/lie about the President...If you hate America leave ASAP!!!!,NOT,1
372,39,82599,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game,NOT,1
377,5181,42543,@USER Austin Rogers? YAY!!!!  He is a favorite.  So glad we will be seeing him again.,NOT,1
379,1481,91930,@USER @USER @USER @USER @USER Live in Canada.  Already have great gun control plus a low homicide rate(coincidence?) Thanks for the advice though.,NOT,1
383,4856,37042,@USER #JulieBurchill is actually mentally ill. When I was a kid she used to fill the NME and The Face and all those mags with her vacuous drivel and now she is given the space in Grown Up World to do it courtesy the spineless pro #brexit @USER eejits. She is pathetic.,NOT,1
384,4941,34158,@USER The liberals have sunk to an all new low....how tragic!!,NOT,1
386,3988,16436,@USER He is going to win!,NOT,1
387,6981,32699,@USER @USER OMG!!! She is perfect!!!!!,NOT,1
388,7250,57669,@USER @USER I recall hearing Maxine Waters issue a summons for all people get up in the face of the Republicans and conservatives. Payback's a b**** ain't it?,NOT,1
389,5041,72398,@USER @USER I cri evritiem,NOT,1
390,7880,26677,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa: the brain child of the democRATS. #DemocratsHateAmerica #Democrats #Antifa,NOT,1
391,6810,93063,@USER bitch what do you mean? Get It by Pristin? no?,OFF,1
392,5305,16548,@USER @USER @USER Democrat @USER supports domestic terror group #Antifa URL,NOT,1
394,6309,36865,@USER that's fucking gross.,OFF,1
395,4547,17211,Network of Liberal Facebook Ads Traces Back to Colorado Law Firm URL #cnn #sitroom #TheLead #outfront #AC360 #NPR #PBSnews #PBSnewshour #tcot #tlot #maga #sgp #nyc #boston #baltimore #cleveland #chicago #milwaukee #denver #stlouis #houston #dallas #atlanta #la,NOT,1
396,1322,20757,@USER Well...he is now firmly part of the establishment....let's see how that goes for him.,NOT,1
398,12211,54522,@USER Risking his own ass lol,OFF,1
403,5590,63585,@USER @USER Thanks. I'm gonna test out herc again with limit broken white rose ce equipped on Raikou,NOT,1
410,8912,54513,GOTTA LOVE A PRESIDENT THAT ACTUALLY CARES ABOUT THE PEOPLE OF THIS NATION!!!! #MAGA!!! #OBAMASUCKS URL,NOT,1
412,5248,74761,@USER @USER Made me smile. 😁😁😁😁😁😁,NOT,1
413,10056,27906,@USER DONT WORWEE GWEEK I HAVE MULTIPLE ANXIETYS TOO YOU ARE NWOT AWONE! URL,NOT,1
419,9639,86236,@USER @USER 'Unintentionally' u fukin pedo.,OFF,1
420,13134,97692,@USER Dont be that guy.  Whoops.  Too late.  You are that guy.  Unfollowed...,NOT,1
422,5424,45253,@USER @USER This video made me join Antifa.,NOT,1
429,6791,22977,@USER happyHappy birthday Missy!!❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😍😍 URL,NOT,1
430,10193,35195,@USER Definitions for liberals: Dangerous = Exculpatory. More 🤡’s,NOT,1
432,6747,98723,President Trump's order to declassify FISA docs and text messages just proves he is keeping his campaign promise and working to #DrainTheSwamp   #BREAKING #FISADocs #Declassified #DeepStateCorruption #politics #MAGA,NOT,1
433,9155,65440,@USER @USER Does nicki even know who she is??? Dreamdoll a whole bully,OFF,1
434,5625,82350,@USER Desperate! @USER will do whatever it takes to stay relevant even if it means jumping on the hate train! #HasBeen,NOT,1
435,7947,29523,@USER @USER @USER How about your outrage over this?  Do something so you can be credible instead of being perceived as demagogues partisans #MAGA URL,OFF,1
437,4644,37922,@USER ....and boobs. Do NOT forget the tatas. ❤️,OFF,1
438,440,14408,@USER I believe you are correct Chico the wise chihuahua!!❤️❤️❤️,NOT,1
442,7631,35355,@USER @USER *rich liberals*,NOT,1
444,7737,85413,@USER Right you are!!!,NOT,1
447,9417,15266,@USER Tim Kaine Completely SILENT. #HimToo #vasen #ViolentLeft #antifa #muslim #virginia URL,NOT,1
450,9707,50910,@USER @USER @USER you are an amazing genius,NOT,1
452,8363,53168,@USER Go Pack Go!  #MaunaLoa  🏈😠 #CrunchToADifferentBeat #NFL #NCAA,NOT,1
453,9716,92695,@USER you are beautiful 😊 URL,NOT,1
458,9102,93433,@USER @USER @USER @USER Love this.,NOT,1
462,1261,86725,@USER @USER @USER Don't know who he is and don't really care.... Some rich dude that probably hates our President and our country...,OFF,1
468,9286,95837,@USER @USER looking forward to meeting you at conference!,NOT,1
471,10802,79620,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Man...can't believe we've lost these 2 as of recently. 2 most Iconic actors of the 70s. URL,NOT,1
472,6790,30282,@USER He is irrelevant,NOT,1
473,269,42540,@USER I’m sure he is. 💜,NOT,1
474,4626,98501,@USER you and me both!! #chatterbox,NOT,1
477,1150,41561,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Following all patriots. PLEASE follow back. Thank you. #MAGA #KAG #WalkAway #Witchhunt #RedWaveRising #VoteRed #VoteDemsOut #VoteRedToSaveAmerica,NOT,1
483,2371,98878,@USER @USER @USER @USER @USER @USER Lady get real trump is rich he doesn’t need tax payers money.liberals still tax payers money.,NOT,1
496,7206,11046,@USER @USER Corey Booker try to finger blast my ass as a teenager. #MAGA #WalkAway URL,OFF,1
498,397,58548,@USER @USER Wonder if he apologized to Diamond and Silk for calling them a “minstrel show?”  He should have been fired but there he is making faces.,OFF,1
501,2923,71831,@USER Every Antifa group member is also an antifascist. But not every antifascist is also an Antifa member. I am an antifascist but not a group member of Antifa.,NOT,1
502,6726,40003,@USER Fallon is a woosy,OFF,1
509,6121,56224,@USER @USER You're on Twitter so you have the internet? Here's a condensed basic history.  URL,NOT,1
513,13176,37301,@USER @USER When your bio is the most relevant piece of shit ever🤔👀,NOT,1
516,9554,46408,@USER @USER He is past his sell-by date.,NOT,1
517,9640,20648,@USER @USER It's clear that Trump is President and hillary still can't accept that. Too bad 'ause he's there for 6 more years. #MAGA,OFF,1
519,9154,85926,#New post #Former Theresa May aide Will Tanner says Conservatives are 'sleepwalking into opposition' has been published on SAllBuzz - URL URL,NOT,1
520,3254,51898,"@USER @USER @USER @USER @USER @USER @USER im just a reality based results oriented kind of guy...   how it turned out, is what informs my opinion.. not my idealistic dreams ..  all liberals are progressive.. all conservatives regressive.  all within varying degrees relative to their location..   all politics is local""""",NOT,1
521,11318,15230,@USER @USER @USER @USER Antifa is as anti-fascist as North Korea is a democratic republic.,NOT,1
522,2119,43667,1. Trump and the Mueller Investigation 2. Climate Change 3. Guns and Gun Control  4. Unions and Workers  #SaveSCOTUS #WhatsAtStake  URL,NOT,1
525,5038,87186,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER got you,NOT,1
528,11561,52993,@USER We the People   Not you the poitician,NOT,1
529,4413,20010,@USER @USER Antifa methinks !!!,NOT,1
530,7654,26815,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Yea cuz mushroom penis syndrome is definitely an impeachable offense 😂 #MAGA,OFF,1
