,Sentence,Label,codemixed
83,"Cow ban - no forced religiousness 
An old man beaten to deat on doubtful grounds by cow vigilants - no forced religiousness.
Day and might concerts with loud speakers : no forced religiousness. Use of loud speakers on navratre/ganesh chathurthi/holi/ jagran : no forced religiousness.
1 min azan : forced religiousness 
We muslims can give up cow meat for our hindu friends!! No big deal, but such horrendous statements by hindu celebrities are disgrace to secular status*** ",2,1
84,Go and protest at Delhi for ur formers..,1,1
85,"One of worst CM .... always sleeping.... when he opened his mouth only Dalit , Muslim wards came ... ch***ya ...no value Hindu people in Karnataka....he using low cast people as vote bank ....10 RSS & 5 BJP karykarta dead till now ... Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡
After Jammu, WB , Kerala.... Karnataka is the most affected jihadi activities ",2,1
86,"Haaaaaaaahaaaaaa. We already know Muslims are slaves, they cannot live their life with their choice, but still they are considereing their self patriotic vow I m happy, make their lives hell ",2,1
88,"Film rating should be 7.4/10  
Now, coming to pros - 1) Shahid Kapoor's acting.  
2) Kabir Singh character personification.  
3) Songs  
Cons - 1) No need to say about scenes.  
2) Kiara's acting  
3) Alcoholic...  
Overall this was a nice movie and one of the best in 2019. ",0,1
92,Pratik Bhai on Fire.. Ã°Å¸â€Â¥,0,1
93,What about Kerala Muslim league ?,1,1
94,Award giving committee also consist of JNU supporters only. They say you are named on award giving committee only if you are giving award to JNU only.,1,1
95,Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š seriously sir..u r genius..,0,1
96,Super hit movie Ã°Å¸ËœÅ Ã°Å¸ËœÅ ,0,1
102,"I'm sure u watched film companion review video Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€š, she is dum ",0,1
103,"Indian men dont need to lure a girl, all they have to do is flash some moneeeeyyyyyy.lol ",1,1
110,It is gr8 tactics of Anna Hazare to remain popular in Media....,2,1
111,Yes it is 98% verses 2%.....lolll,0,1
112,This is what u can do .....,1,1
114,First rajdeep tried to defend her but he failed to do so.,0,1
115,radhe krishna right,0,1
118,"she also said ""TU thik to hai na"", i.e you are not gay right as you so openly
support LGBT people ",0,1
119,Nice Comedy Ã°Å¸â€˜Â,0,1
121,uae ki first batting se ek indian player ki wc century miss ho jayegi :3 :3 #cwc15 #indvsuae,0,1
122,Lol fucked up fake news.. why ABP news so desperate for TRP..Showing some old video of some other country,2,1
124,"Anna hazare failed in his drama on kejriwal case. Hazare aim is to remove congress from power and he joined with kejriwal. Kejri is clever and he overcome hazare and defeated bjp and opposing till now. Anna hazare wont speak if bjp involve in money scandal, communal violence, hate speeches etc etc. Anna hazare is a hypocritic poison human being. Hazare never thought kejri will come into politics. Hazare may won in defeating congress but lost on kejri matter. Great actor hazare ",2,1
126,Sham on you,2,1
131,It is remake of South Indian Telugu movie Arjun reddy,0,1
132,I want top guys interest ppls call me 9502048332,0,1
133,Will maulana will give hindus to worship in his house.,2,1
134,Bang on!!!,0,1
136,Burnol sales on the rise owing to fiberals!,1,1
137,Congress is bankrupt....they need to identify and develop new and young leaders...,1,1
139,Lol Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š Most of the IITians fly to USA? lol.,1,1
141,Eagerly waiting for your opinion finally.. Ã°Å¸ËœÂ,0,1
144,Like Baahubali.,0,1
150,@MASK Paul hii,0,1
154,"Do analysis of super30 .. education, corruption,money. ",0,1
161,"New Uttar Pradesh Restaurant ( India ) 2017.....

100% Vegetarian.....

Menu -
Veg Beef (Buffalo) - Not Available
Veg Fish - Available
Veg Chicken - Available
Veg Mutton - Available
Veg Egg - Available
Veg Whiskey - Available
Veg Tobacco - Available

Free Home Delivery on 4G Mode

Cheers..... Enjoy...... ",1,1
162,Nice yr,0,1
163,#THANKY0UTAKER,1,1
164,Be cool randians mind it this z called real sirgcal strike lol. Even ur own media is accepting it.,2,1
165,So funny Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€š great job,0,1
167,What is 377 I'm from pak idk plzz explain...,0,1
168,"it is nor char saal like your western sponsor, arundhati. it is paanch saal in
india. you are so drunk on your western compensation, you forget about indian
election time table. shame on you. ",0,1
169,Poor implementation.... Not gonna win the next election for sure,1,1
170,he said just because he wants attention of indians again no one listening his songs he wants to come back thats why he is targeting muslin religion ..he is above 45 year old did he first time listen prayer call... shame on you... and when this brutality end when muslim is allowed to eat beef in islam who they are to stop them... stop this forcefull acts ... just drink cows urine its your punishment from Allah....,2,1
171,"Rudra  
Calling her kutti is insult to bitches  
Arundhati is far wretched ",0,1
172,Okkk....just think logically...why does the creator god or bhagwan gav us tooth with both herbivores nd  carnivores........which i mean animals which eat only plants fruits etc hav unique teeth shape nd which is diff from carnivores but god gav us both ...front visible tooth are similar to carnivores and inside tooth are herbivores....,0,1
174,Love u kkr missss u,0,1
175,I hate u Mumbai,2,1
178,that uae mauka ad is hilarious xd #mauka #indvsuae #cwc15,0,1
179,Modi always talk like this.we should not take serious.,1,1
181,"Demonitisation brings a change to selected good candidate in coming Punjab, UP,Manipur,Goa election ",1,1
182,"Bhai tere naam was best film above kabir singh and arjun reddy. Because in the
end tere naam showed the consequences, what happened to radhe. Not like
these., Arjun Reddy and Kabir Singh os is temporary, but Radhe is permanent. Ã°Å¸â€Â¥ ",0,1
183,If Shanti Doots are abusing means he is right person LOL,0,1
184,"I can see that this is not the correct movie for you bhai Ã°Å¸ËœÂÃ°Å¸ËœÂ it's ok I can
understand your opinion but I feel in this movie that hero himself is villan
of himself because of his mistakes he suffered lost his job lost his Identity
and almost lost his love but later he realized what mistake he had done and
came for his love. I can understand the doubts you have for the character
please try to watch deleted scene for Kabir Singh in YouTube then you may
somewhat hate it little lessÃ°Å¸ËœÂÃ°Å¸ËœÂ ",0,1
185,I love you apu,0,1
188,vj_ind: @MASK #myteammypride #indvsuae #indwins wohoooooo :ddd we ... - http://t.co/q4j3j20bon #indiadefends http://t.co/ddeakvibrh,0,1
189,You deserve 10 million subscribers. Ã°Å¸â€˜Â,0,1
192,You are fail fail faaaaaaaaail,2,1
195,"Oh, Anna Hazare, still alive? ",1,1
196,Yea I agree with u,0,1
197,Deposits of old notes in accounts of political parties exempt from income tax http://www.livemint.com/Politics/83hSnXRdZmz3K7RAfxPxVK/Deposits-of-old-notes-in-accounts-of-political-parties-exemp.html,1,1
198,Heh turkey is the 3rd class pathetic country i know.,1,1
199,Name mithun,0,1
200,Anna  ginn will comeout before every election against AAP. :),1,1
202,"jitne wrong kah rhe hn wo sare bi sexual hn.because its prove that all
homophofic are always homosexual ",0,1
204,Hahaha send more jokesÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,0,1
205,We don't spend one hour and rush off from our puppies. :/ Tanvi Lolap,1,1
206,Jio = Failure !!,2,1
207,virat kohli leads india to victory against pakistan: http://t.co/yxhffctq2r #bleedblue #indvspak #cwc2015 # http://t.co/ha1ksy0nsn,0,1
208,"Great moovie .....i seen this in the evening show....great acting sahid and
kaira..... ",0,1
209,Great videoÃ°Å¸ËœËœÃ°Å¸ËœËœÃ°Å¸ËœËœ,0,1
214,WAt a racist. No worries dude. Ppl like you will cease to exist naturally. Hahaha,2,1
215,Yrrrr Saurabh let the Sardesai speak. Don't disturb him ....,0,1
216,The industry has been penalised for something we have not done: Pawan Goenka,0,1
217,what a style sirji ;-) !!!! #indvsuae #cwc15 #wewontgiveitback http://t.co/jbageoj7vu,0,1
220,Lol modi is being vompared to pappu now ..didnt expect thatÃ°Å¸Ëœâ€š,2,1
222,"If everyone know this, then y Mr. Modi is not urging UN security to give Dawood's custody to India. Even he is not trying, I know this is difficult, but India can try. Ã°Å¸Â¤â€ ",0,1
224,Baahubali 2 reviews #####                india today     4/5                                  time's of India 4/5                                     Hindustan times 4/5                                                   but you    (indian express) -2/5                     you are not able to give good reviews  but  makes articles on baahubali 2 (indian epic)  .,0,1
225,"Who are these sus scofa supporting AR? We gather all these secularvengers, put
them on a plane piloted by Owaisi and send off towards The Indian Ocean. Guess
who would be the air Hostess?....Mamata Mufti , Kavita Khalid, Arundathi
Andrabi, Kannimozhi Khalifa. The toilets cleaning contract must be awarded to
Kamal Nath, Ashok Gul Ghelot, Rahul Rashid, Kamal Hassan. Happy landing. ",0,1
226,Ã°Å¸ÂÂ SuPerBÃ¢ÂÂ¤Ã¢Å“Å’,1,1
227,"Disappointed with Sambit for letting Khera speak non sense, he should be exposing openly. Y BJP is defendant against this corrupt parties ",2,1
228,Made in russia just painted in india Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,1,1
229,"@MASK Gupta ya they are smarter may be that's why they become lesbians  
lolÃ°Å¸Â¤Â£Ã°Å¸Ëœâ€š ",0,1
230,"[15:25](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=15m25s) I can't stop
laughing Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£ Ã°Å¸Â¤Â£ ",0,1
231,@MASK Thakur Thank you,0,1
236,Kejriwal is only hope in politics.annahara baseless,2,1
238,"Just listen guys if our Government have accepted the LGBT community why don't
we??? I m A Straight I Still support
[#377Act](http://www.youtube.com/results?search_query=%23377Act)...  
Jese jiski soch...  
Be Real Human beings...dont discriminate Them  
When God Accepted Them They Dont Need Your Acception...Ã°Å¸Â¤Ëœ ",0,1
240,Day 12 of JNU Hunger-strike: Salute these heroes of young India who are fighting unfazed for justice. #StandWithJNU pic.twitter.com/nzJMLBsItj,0,1
242,mouka mouka to see @MASK 2morow again #indvsuae,0,1
243,Trumph is right we indians tv channels shows how indian has been killed in US but if an army javan dies we never get to see,0,1
248,"HDFC is a worst bank to bank with. Be it credit card/Loan/Accounts- they are just horrendous and big bunch of fake commitments and false people. All the employees are just bloody mo*****, Sorry being judgmental, but have dealt with nearly a thousands of them and all are the same. JUST A BUNCH OF A******S ",2,1
249,"Dat cunning woman Arundhati need a doctor she is sick I feel sorry for her n
over her situation lost cognitive sense ",0,1
250,"how many times did you have to practise to pronounce the words 'misogynistic'
and 'toxic masculinity'?? ",0,1
253,Its not petrol... Its crime patrol...,0,1
256,"kohli to afridi ""beta tumse nah ho paayega"" #indvspak #indiavspakistan ",0,1
258,Modi ji could u plz get tax from business men s pockets like v service people... then i vl b with u,1,1
259,"Now this idiot realises truth after being slave of a Single family rule , who destroyed our nation all these years !!!!!!!!!!!!!!!!! ",2,1
260,Great bro..,0,1
266,Wrong choice for Bheem,2,1
267,"Respected Person, pl all areas Handover to India Army and order to shootout every naksaliyon ",1,1
269,Next role of preeti Is for pratik..,0,1
270,yeyyyyyyyyyyyy #indvspak sir jadeja is trending Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,0,1
272,"What he said and what are you quoting?

Wish you looked at the video in an unbiased manner.... ",1,1
273,"Belive me nothing wrong will be proved  , useless media  useless  sebi  useless  govt ",2,1
274,Na kashmir rahega na pakistan rahega ishfaq bhosdiwaale sabr ka intehaan le raha hai tera katwa pakistan,1,1
277,ANDH BHAKT SPOTTED,1,1
279,team india o'rconfident naa hoiyo! #indvsuae,0,1
280,Very nice video sir ..... Best one og yours.... Best reply to feministsÃ°Å¸ËœÅ½,0,1
282,"The less you talk of this bugger Sonu the better.People of any Faith  be it  Islam ,Hindu or Christian should have no problem when holy Azaan is sounded vide Speakers or Bhajan broadcasted through Speakers  be it at any hour of  time,we should learn to respect and acknowledge the Holy essence of both the  Religion. ",2,1
288,All the diesel and petrol are being mixed with kerosene ...so our vehicles Do not last..,1,1
291,#hinduphobe indian media burn burn,1,1
293,Watch out for Lakshmi vilas bank n delta Corp timorrow,0,1
295,Islam never said in Quran shout on loudspeaker...  Yes every excessive use of loudspeaker should b ban...  U visit malwani in Mumbai n okhla delhi during Friday...  U will hardly find noise in okhla kutba shouting...  But in Mumbai malwani they shout for prayer call every day one after another on masjid speakers n kutba is like as if American r just about drop bomb n molvis giving his last speech before    raging war against America... Why it's so ? in Muslim area they don't use Mike as they use in mix locality...,2,1
296,The strike required on the Vaampanthi Aakaas of these naxalite. i.e. CPM and it's allies. Then only this problem will get solved. Otherwise they will keep on Producing  Traitors like Khalid Umer and Kanahyas !,1,1
298,we need to give strong reply .... they need not forget that.......,0,1
299,"Sanjiv, use burnol
Son. And have beef tikka then ",1,1
301,Which one should I buy now ?  Gruh / LIC Housing/ DHFL ?????,0,1
302,He (Hazare) dashed indians hope. Where is Lokpal bill for which u did so much drama ??,2,1
303,"that's bhajan not disturbing you coz it's in India..but it would be harmful for you if you living in Pakistan, Bangladesh, Iran,Arab etc country !! So stop your secular behavior !! He didn't tell to stop Azan or Arti but he just said that you don't do it in mike with high sound in morning !!    But so many sickular's turning it into communal comment !! ",1,1
304,Stand with jnu #standwithjnu #queer #supporter #spread the #word https:// twitter.com/akhilkatyal/st atus/729599936338268160 Ã¢â‚¬Â¦,0,1
305,"My son this is not 1971 and a brigade of our army is not combatting with the cowards of a whole country...  Its basically party time...  Punjab,  Nagaland, Assam and Kashmir will be separated ",1,1
306,Think so u have read Quran Anurag Mishra,1,1
310,So he joined bjp internally.,1,1
312,today reliance will give 4Ãƒâ€”score of india mb 3g data. so i want india to bat first...#indvsuae,0,1
313,ItÃ¢â‚¬â„¢s black law period,0,1
314,Disney's Pixar's Up movie review,0,1
319,Hazare is a stooge of RSS,1,1
321,Salute to jahangir,0,1
324,What kind of media is this!!first they make headlines of indian soldiers being killed by rocket launchers n now about mutilating their dead bodies....this can happen only if Pak army crosses LOC....btw it looks like a #RealSurgicalStrike with evidences on indian media,2,1
325,"8505050887#get_immediately_solution_for_your_all_problem_contact_now & whatsapp
Vashikaran, love marriage, love problem, family problem, husband wife problem, business problem, child problem
#solution_with_100% guarantee ",0,1
326,"Communists vermin were behind Partition of India, https://www.youtube.com/watch?v=lfbUE5tp0zE ",2,1
327,@MASK shut ur polarizing mouth n speak on triple Talaq!!! Wen u talk on other external affairs then y dont u speak ur inner sin?? Beta Jab Anna ji ko bolre ho to soncho kitna tum honest ho??,1,1
329,"Chapter of RSS golawarkr chapter 29 n verse 420 forcing on others community of indians to eat what their choice of menu   food should eat. moron grow up its ours India secular and democratic country.! 
Your party is ruling in the state of  Goa & NorthEast can't ban beef there and cant ban on export too and here talking to be ban in kerala...hahaha moron bhakto ",2,1
330,gangaa mamgai what u want mam??,0,1
333,Vasa Madhukar Never for the wrong reasons. I had stood with him very firmly during Gujarat riots.,1,1
335,Subhashree Mondal what,0,1
337,"Has he become just another Markandey Kataju? Giving statements after statements only for TRP. 
Where are his genuine supporters? 
Where is 'HIS' Janlokpal Aandolan? 
.
By now he should have learned that people support AK more than him because everyone knows in India nothing can be changed without power. ",1,1
338,Mr saini why r u creating trouble for BJP govt. If this remarks r true,0,1
341,Did it win...really LOL,1,1
342,If he was Arvind Kejriwal- he would be trolled,1,1
343,rt if you are laughing at pakistan... hahhahahahahahahahahahahahahahahahahahahahahahahahahaha #indvspak #pakvsind,0,1
345,Parth jindal looks like chip of an old block. Watching him reminded me of young sajjanji way back in 80 s,2,1
346,He is duffer,2,1
348,Great wall cannot be the barrier for Great leader <--->Great leader knows how to use the chewing gum for climbing <----> For Great barrier Reef steve ballmer.,0,1
349,another attention seeker after gambhir nothing else,2,1
351,Rajshree Jena real face haha world know ENDIA face,1,1
352,Vidyut Kauntia Put this into perspective and then some of the graduate pay cheques seem outrageous !!,0,1
353,Nice Comedy bro Ã°Å¸â€˜Â,0,1
354,Who will be be headeding 100 Pakistani soldiers?? TV channel? Or through Yoga,1,1
355,"Sagar Chavan only I've to worry, it's my state. Excuse me Maharashtran plz ",1,1
357,He was boy friend of your mother,1,1
361,"We were using Cola n Pepsi for toilet cleaning n it worked!!!!
But after some days due to cola effect toilets tiles got more vulnerable...
Now SBI wants from us to drink this holy water as a part of digital revolution!!!Ã°Å¸ËœÅ“Ã°Å¸ËœÅ“Ã°Å¸ËœÅ“ ",1,1
362,What an foolish women...,2,1
367,His point is relevant and should be appreciated.. there is actually no point in broadcasting religiousness by loudspeaker..either its in Islam ..Hindu or any .. we all have our free mind set to follow or unfollow religion..It shouldn't be pressurised on anyone .. everyone is not interested in listening to Azaan or Aarti or Jagrata ... it should be kept in the ears of the ppl who are there at a place to listen it ..Loudspeakers use should be prohibited for religious songs.,2,1
375,I was crying*,0,1
376,Sorry iam lateÃ°Å¸ËœÂ¬,0,1
377,"Dada,...Why do you even give shit to to such crap humans. ",0,1
378,Bihar ke Kitne now jaban hai sb ko lga do duty Pakistan ki Bahan chud jayegi,2,1
379,"true review about film and fake librals too.. prateek sir.keep it up the same
honesty. ",0,1
380,"Okk Rakesh Shah i agree wid u that it hurts old people, schools, animals everyone... Bt will mentioning a particular Community in frst two tweets, justified?? Are muslim people the only ones who plays loudspeaker?? i too feel we shud stop noise pollution, bt every human being shud make an effort not just Muslims.. ",1,1
381,Thank you so much Ã°Å¸ËœÂ,0,1
382,India must eat beef....its taste better than chicken....it is good.  Guys pls try,0,1
384,#indvspak#won'tgiveitback#100#viratkohli....india india!!!,0,1
386,"There r over 7 lakh people protesting in a silent way in the second longest beach of the world !! - THE MARINA, CHENNAI !! #BanPeta #JusticeForJallikattu ",1,1
389,"Pak didn't mutilate the Soldiers, their weapons did - Great thinker gurmehar Kaur. ",1,1
390,Ranu Mondal is gone,0,1
391,kasthuri comedy showÃ°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£,0,1
393,mixup misfield and a single! :d #indvsuae,0,1
394,@MASK #indvspak match ka wait krte hue guzra.. or aapka?? :p ;)),0,1
395,i m gay from delhi.. bottom,0,1
396,Thats the irony.. Sad,1,1
400,What about your well paid jagrata nights ? Many more can be counted under your same forced logic from Bollywood.,2,1
402,Wants to be in news like Anupamp kheeeeeer and Gautam Gambhir,1,1
403,Shame on Muslims koi Indian army kyun nahi jaata 15 Aug ko tiranga nahi fehraata sab desh virodhi tatv ho tum log,2,1
409,i am gay Ã°Å¸ËœÅ  18,0,1
416,"What the f. Ck, lets ban all non veg so now buffalo has less life thn cow.  In 21st century  we are watching  reading and debating  on what? ",1,1
418,Modi aur rajnath ab phir se sirf ninda krenge aur kujh nhi kar skte aur na hi krte h,1,1
419,True reviewerÃ°Å¸â„¢Â,0,1
420,fuck dis mother fu* ******,2,1
421,"disclosure of 500 1000 note will may be touch 25 lakh crore 
coz of reuse spoil money by Congress. ",1,1
422,7018748435 coll mi,0,1
423,Akdom right bro.sallutÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸Â¤ËœÃ°Å¸Â¤ËœÃ°Å¸Â¤Ëœ,0,1
424,"He is neither this nor that.
He failed what country needs and he is also one of
the main reason for Kejriwal's obstacles and his
fulfillments.Annaji may be
living inthe dream while he
is sleeping what happens in
this country.This is the time
for united standing between
all parties tosucceed grahan
happen in this time ",2,1
427,"Liberals do not have problem with the movie but with Shahid Kapoor after he
attended the swearing in ceremony of PM Modi. Shahid Kapoor is the latest
target after Kangana Ranaut. Now onwards all his movies will be targeted. ",0,1
428,"And sunglass that he used Ã°Å¸Ëœâ€¦  
Here in my country Nepal shopkeeper sell that sunglass as hotpiece writes
outside the shop in poster as "" Kabir Singh ko chasma yaha paienxa""( Kabir
sing glass will be available here)Ã°Å¸Â¤Â£ ",0,1
429,Now where is smritiJi will she send her bangles to minister and pm .... Oh hell useless talking about everyone in govt i think they will have party today .... And smritiJi will be item number ....,1,1
434,shahid ho gaya shaeed....! go india xd #bleedblue #indvspak,0,1
436,#aus all-round performance in #worldcup2015 1-win 1-draw 1-lost cooling heals at 4th place #ouch #egohurts #indvsuae #ausvsnz,0,1
438,"#indvspak - well... misbah, afridi &amp; paki gang.. --- dho daala -- photo sent by whatsapp http://t.co/sdvmeatirl ",0,1
439,S0rry.very.bad.chennel. your,0,1
442,"Anna Hazare you are not a Gandhian, you are a BJPian. ",1,1
444,"So true brother, ek dum sahi bola inn fucking feminists ke dhaaajiyaan uddaa
di bhai nee Ã°Å¸â€Â¥Ã°Å¸â€Â¥Ã°Å¸â€Â¥Ã°Å¸â€Â¥ ",2,1
448,"Is that a surgical strike??
If yes , then shame on gvmnt ",0,1
449,Ã Â¦Â¸Ã Â¦Â¿Ã Â¦Å¸Ã Â¦Â¿Ã Â¦â€š,0,1
452,Call me 9876380919,0,1
454,kohli kohli kohli......sensible &amp; smart inning dude..... #worldcup #indvspak #cwc15,0,1
455,"When will the design of Bajaj Auto change...still the same for time ...and its not classic. Unsafe, dangerous ",2,1
457,You deserve 10million subscribers,0,1
459,"@MASK sir @MASK is one of the best example of feminism. Not just
controversies like kabir singh or nana patekar and tanushree datta but many
more other issues which had no point debating, they are just liberals. ",0,1
460,Killer of gujrat muslims member of rss talking about terrorism.. wtf,2,1
461,Gen.RAWAT blamed that Pakistani crossed the border and RAPE not only my wife but also Rape my daughter and then safely went to Pakistan. .....,2,1
462,Ajamkhan should be told to go to hell along with Akhilesh and Mayawati and every thing better will happen to India irrespective of cast and creed.,2,1
465,Eccentricity of bongs Ã°Å¸ËœË†.pak fan,0,1
467,Thanks a lot Sonia.......and another thing is i am long in sunpharma whats ur view?,0,1
468,"They gave him a fiery short cut to JaÃ°Å¸â€Â«Ã°Å¸â€Â«at, where 72 hijda hoores and Ham Lover Ma-HAM-Mad are waiting eagerly  Ã°Å¸â€˜â€°Ã°Å¸â€˜â€°Ã°Å¸â€˜â€° ",1,1
469,"Show more intent ? Yeah more intent than fiddling with Anushka's tiÃ°Å¸â€™â€¹Ã°Å¸â€™â€¹ies on valentine's day instead of preparing for the tough Oz... Now it is time for him to Ã¢Å“Å Ã¢Å“Å Ã¢Å“Å Ã°Å¸Ââ€žÃ°Å¸â€™Â¦Ã°Å¸â€™Â§Ã°Å¸â€™Â§Ã°Å¸â€™Â§ Ã°Å¸â€˜Å½
And where is IdliSambarBuddhi coach Kumble and the Sardar Joker Harbhajan whose comment has become the best Sardar joke I've heard in a while...
Gone is Kohli's swagger and snoot... He's like Mary's little lamb now... ",2,1
470,In NBFC which is better stock to invest - Home loans or Auto loans or Micro finance.....,0,1
472,Killing them for fun is cruel but killing them for food is normal.. There's no hypocrisy. It's just logic...,1,1
476,@MASK Singh yes,0,1
477,Totaly cheap publicity because hee is frusted lack of work,2,1
478,"Rahul new guru is Arvind Kejriwal, god knows which is good joker ,  why they do not apply for Pakistan PM ",1,1
479,"Bro , book kha hai aapko???  
Can wait to buy for myself and gift to loved ones!!! ",0,1
480,What the hell is happening Ã°Å¸Â¤â€,2,1
481,Lol Ã°Å¸Ëœâ€¹,0,1
