,Unnamed: 0,id,tweet,aggression,codemixed
2720,2720,1.5832368848382484e+18,"@MASK I think e shall not give it a religion colour Bcz tye conversation reveals that these women has stolen the items from@the store . For that purpose, people were taking off the Hijab and recovering the stolen things . ",0,0
2203,2203,1.583575053710422e+18,@MASK you said it,0,0
3057,3057,1.583596748127101e+18,"@MASK Marxist Democrats are all tryhards at making a fucking joke out of our legal system.  That judge got schooled by North Korean puppet trials, and the state of Connecticut has 🤡s for civil servants.  This isn’t how it’s meant to work AND they know it!!! ",2,0
3375,3375,1.5811808839269294e+18,#BREAKING Supreme Court stays release of Professor GN Saibaba and four others who were discharged by the Bombay High Court yesterday in UAPA Case.,0,0
184,184,1.5820199962590003e+18,"The economy and inflation account for Republicans grabbing an edge with the midterms approaching. Independent voters are now favoring Republicans by 10 percentage points, compared to Democrats' 3-point advantage last month. Women are shifting more toward the GOP. ",0,0
4028,4028,1.551565066486616e+18,#sscscam  There should be a detailed enquiry and investigation in SSKM and state govt hospitals how they provide customised health reports to help the undertrials and under investigation tmc leaders escape interrogation and investigation by @MASK @MASK or put up a story,1,0
872,872,1.575445067200082e+18,@MASK @MASK @MASK So u mean to say Marital rape is part of marriage?,0,0
266,266,1.5820195509539471e+18,Inflation. Gas prices. Crime.  Border security. Declining international influence. Why the hell would anyone vote to put more Democrats in charge?,2,0
3457,3457,1.5808044006955172e+18,"@MASK @MASK Yet another example of how this regime is misusing draconian laws like #UAPA to harass critics, not to mention wasting the agencies' & courts' time. Unless agencies face consequences for perpetuating their political masters vindictive agendas such cases will continue unabated. ",2,0
3733,3733,1.5858420208994875e+18,"@MASK They don’t have IPL, but looks like they have other revenue streams 😂😂😂😂",2,0
1374,1374,1.3011445522633564e+18,"@MASK @MASK Or more building more motorways that promote more urban sprawl, that leads to building on flood plains, that leads to more cars needing more roads, that leads to more flooding! And so it goes! ",0,0
2705,2705,1.5837324980053852e+18,"@MASK @MASK @MASK You cannot see your own soul in your body,how can i tell how many thousands years before was prophet adam?  But first prophet was adam(A.S) and last prophet is muhammad(S.A.W). ",0,0
2126,2126,1.583578829913985e+18,@MASK Lockdown defense by the GOAT,1,0
2582,2582,1.5837603722169587e+18,"@MASK Islamic, Christian worlds, Muslims got constitution of India, laws made in their favour instead of India, Indians & have been ruling over India by proxy & their opinions for 60 years. They are now disturbed, as India now does not get pressurised by their opinions ",1,0
2285,2285,1.5835474939752243e+18,"@MASK No one can blame it on COVID-19. We’re not the only country to have been hit by COVID-19. Interestingly, Australia experienced 262 days of lockdown, Buenos Aires experienced 245days of lockdown. How many days did we go? Our leadership just lacks goodwill and it’s sad🥹! ",1,0
4681,4681,1.556995855672316e+18,"Congress taught us that Everyone proudly hoisted Tiranga on 15th Aug , 1947.  But we came to know that RSS didn’t hoist Tiranga on its headquarter for 52 years.  And Golwalkar said that 3 Colors is unholy.",2,0
5066,5066,1.580086073681916e+18,"Chidambaram: The cabinet was transmitted the recommendation.. the cabinet was waiting. This recommendation comes to the govt and is accepted. Within minutes, govt makes the notification and the PM goes on television to announce demonetisation.   #SupremeCourt #Demonetisation ",0,0
1014,1014,1.5689071781485115e+18,"#MaritalRape this is the trend going on right now,and Indian mens are saying this is all feminism bullshit? seriously I mean comeon guys think of a better agenda, I mean in some cases it may be right,#MaritalRape but we all know that this is happening in india every single day.. ",0,0
5136,5136,1.5799987099069727e+18,@MASK Your name sounds hindu. How much was your personal loss in demonetisation?,2,0
3770,3770,1.5858174075492393e+18,@MASK @MASK @MASK Ok let me know how many times he won player of the series in white ball cricket ... And top scorer for the series or tournament in white ball .. don't include IPL..,0,0
2069,2069,1.583419274789462e+18,Inclusion Health Social Workers speak up on structural failings. Examples # Hospital correspondence sent in English to migrant communities. Single homeless women leaving hospital post C-section sent to one hotel room with her children. @MASK conference #combatpoverty,0,0
1717,1717,1.5777616802634793e+18,"@MASK One of the reasons why their open defecation is very inevitable.  When it comes, it comes blowing. ",0,0
3272,3272,1.3760591377887685e+18,"@MASK The INC, which is dying out due to lack of policies, does not want to see our agricultural country is participating in the global production policies. Their sole purpose is the protection of their corrupt workers. Opposition to farmer's bill has clarified this. ",1,0
3984,3984,1.5542973682032558e+18,"RELEASE OF UNDERTRIALS IN J&K needs utmost caution. Lest, 'connected,  influential terror criminals' get released on considerations. They can become 'OGWs, Sleeping Cells' & strike back unobtrusively at a time & place of their choosing as directed by their mentors from across.",2,0
3006,3006,1.5768585010741248e+18,@MASK Their goal is love jihad don't you know what is their ideology,1,0
2970,2970,1.576998559547023e+18,"@MASK @MASK We aren't making muslims enemy. Muslims are born enemy, we have just started bringing your real face infront of everyone only. Your true nature of ""Sar tan se juda"", ""Bomb Blast"", ""Hate speeches"", ""Love jihad"", etc. So it will be good to stop blaming others for your own acts. ",1,0
2610,2610,1.5837355633118003e+18,"@MASK @MASK Sorry, do not bring Islam into it as he was anti-Islam & he killed thousands of Muslim people.   He even stated he will denounce his atheist beliefs to become Christian in order to receive weapons to kill Muslim people. ",1,0
5009,5009,1.580122146780504e+18,"#Demonetisation I am ordinary Senior Citizen. Before demonetisation I used to carry about Rs 10,000/- with me. After demonetisation just Rs 200/- & Card. Less risk of carrying Cash. Thank you Modiji. ",0,0
2938,2938,1.577136506224857e+18,"@MASK @MASK @MASK Exactly Parents need to set good example & guidance to girls  They must handle their girls gently but firmly M boys are taught/trained by the Love Jihad racket to pick minor girls as they are easy prey The boys woo, give lot of attention and spend money on  the girls to trap them ",1,0
3226,3226,1.5835788160724664e+18,@MASK who else would it even be,0,0
1303,1303,1.5445010735906447e+18,"@MASK @MASK @MASK @MASK You’re not wrong. Municipalities all over the state are required to maintain access for this type of irrigation, regardless of whether it’s in an urban or rural area. Flood irrigation is irresponsible in this climate but would have to be dealt with at a state level ",0,0
910,910,1.5754346492871393e+18,"The weepers under the abortion and marital rape judgements are mostly men, it's baffling. Not really. ",1,0
3644,3644,1.5858057180743227e+18,@MASK @MASK @MASK Start women IPL of atleast 6 teams and then watch the magic .How Indian women will dominate over all countries and always sealed the top or no 2 spot in all format. They need to play more and they should participate more tournaments to be efficient to fight against team like Aus.,0,0
4391,4391,1.5859089550791516e+18,@MASK Climate Emergency = Mass Formation Retardation,2,0
4426,4426,1.585906089803264e+18,@MASK @MASK How do you know these people do every single 1 of these things? You utter Bellend. I’ve worked in emergency accommodation and it doesn’t work like that.,0,0
2043,2043,1.5834228905482772e+18,@MASK @MASK @MASK Doesn’t matter if migrants come to NYC.. Almost most of these immigrants interviewed said they aren’t even staying here. Most are going to Florida & Boston. They say they don’t feel safe here. And that says ALOT!!,1,0
1648,1648,1.582004313655636e+18,"He literally sampled one of the most powerful and haunting songs about lynching for a track about wanting to sleep with white women, like he's always been like this ",2,0
1067,1067,1.5807258994646917e+18,@MASK @MASK @MASK @MASK @MASK Yes you are right secularism is a religion that worships physical things made by people. You cannot comprehend a God that you cannot see or control. Secularism does not protect God or those who worship God. Christians do pay taxes so what are you talking about? The Church?,1,0
134,134,1.5820203297438433e+18,"@MASK Isn’t the answer to increase most benefits by inflation, with the exception of unemployment benefits for those who can work but don’t? ",1,0
141,141,1.5820203021789184e+18,@MASK @MASK @MASK No Rick. Inflation would be high right now under Trump too. That's why it's worldwide under both conservative and liberal governments. It's call stimulus from due to COVID (Demand) and supply chain issues due to (COVID) being out of whack. Add decades of easy money +an oil shock.,0,0
1513,1513,1.598626512961679e+18,"@MASK  what do u think about our Indian people from Tamilnadu fisher mans are always tortured,killed and tortured by Srilankan army. What is the action taken by our government ? Our government will take only aggressive face to only Pakistan and China ? We need ur answer ",2,0
2122,2122,1.583579116976345e+18,"@MASK Hurry quickly as might not win hurry the country don’t need you, you succeed with the backing of @MASK but you got big head & through lockdown you failed the British people ",2,0
1961,1961,1.583431848977322e+18,@MASK It is not a conspiracy if it is factual. Is illegal mass wave migration occurring? Answer yes. Have their been young teen girls raped and murdered in Europe and by an illegal entry migrants with marks found on body. Factual information verified. She was the 12 th #LaraLogan facts,2,0
374,374,1.5819998820211955e+18,"@MASK @MASK @MASK @MASK Rasmussen Reports survey found that 89% of likely U.S. voters are concerned about inflation, including 64% who are ""very concerned."" ",0,0
2739,2739,1.5832255994933125e+18,"India: A good portion of the country is made up of Muslims. About 14% to be more precise. In the religion, girls and women are required to cover themselves, and their hair. However, the hijab isn't accepted everywhere yet, so many of the hijab-wearing women are struggling - ",0,0
360,360,1.5820000290864207e+18,"@MASK @MASK Many games released and releasing everyday. But Other NFT games are currently having difficulties managing the number of NFTs that are inflated in the market, causing their value to be influenced and damaged. So, what is ""TechTrees"" plan to deal with NFT inflation? ",0,0
5053,5053,1.5800901159298007e+18,"Chidambaram: That is the point, it was not even justified in light of these objectives. The question really is, did the @MASK deliberate on the objectives and make recommendations? If you meet and decide in less than 24 hrs, what would you have deliberated?   #demonetisation ",0,0
1332,1332,1.3035603173564987e+18,"@MASK @MASK @MASK Oxymoron Alert: cutting trees to make urban park n develop the forest area. Pls share your plan with us. Even if you cut one tree you are harming environment. We need real forests, don’t urbanise it for fun #crime #floods everywhere due to #deforestation. @MASK ",1,0
931,931,1.575428542451503e+18,imagine being angry because the law said marital rape is a crime,1,0
2683,2683,1.5837332440206743e+18,"Muslims. In majority of these 50% homes which are owned by our Muslim brothers it is the 2nd, 3rd or 4th wife who lives in them. In many of these homes are boys. Now boys require a father figure someone who can control them but unfortunately the father's only make technical . ",0,0
4400,4400,1.5859081395215565e+18,"How about a system where bankers bonuses (and other industries - I’m not a monster) - are paid to Nurses, teachers and the emergency services instead of to people who already earn more than six figures a year?",0,0
4100,4100,1.5480650758601605e+18,@MASK @MASK What’s the point of all these observations? Honestly how is it making any difference to Zubair or the other thousands of undertrials languishing in jail?,1,0
3943,3943,1.5592422599371855e+18,"Failed decentralisation, imbalanced federalism, economic inequality(predatory growth), frustrated reservation policy, gender/caste/class insensitivity, religious intolerance, undertrials languishing in jails(70%), under-representation of women and LGBTQI in politics, after 75yrs",0,0
3249,3249,1.58357612901709e+18,@MASK But your running as a Marxist,2,0
4693,4693,1.5660485240091976e+18,"@MASK Hindutva isn't frozen in stone, like any ideology. But is it so flexible that it's slippery and it loses any meaning at all? It has to be grounded in something, and that something has always been the values and ideas of men like Golwalkar.",1,0
5347,5347,1.577210645354668e+18,@MASK @MASK What is the Accountability for demonetisation? Results delivered? Was there any attempt by the government to study the outcome of demonetisation over last five years?,1,0
3983,3983,1.5543941170266191e+18,"@MASK Still no ODF, Garbage Piled up   major cities including so called Capital, Infrastructure at worst, No leader or Bureaucrat knows what Cleanliness look like, Pot holed roads rampant, Millions undertrials languishing in Jails, Corruption & Black Money high despite demonetisation.",2,0
1616,1616,1.5820441080421783e+18,It is a good news that Mr Modi and yogi showing interest in Muslim.   votes but they should release at least half of the Muslim youths who are in jails  from ten to 15 years  and ten ₹ lakhs to each Muslims who were lynched and died. Some three hundred were died in mob lynching,1,0
5376,5376,1.5835773712647905e+18,@MASK You think Brawl is stronger than Megatron?? Wow. no Lockdown or The Fallen? Surprised.,1,0
2050,2050,1.583421851145212e+18,@MASK I pray they lose big time. Their housing the illegals New York. They’ll be going in and getting them to vote because they are so corrupted. Everyone in that administration needs to go. I bet every company that supplied furnishings for the illegals and migrants are democrats,2,0
4302,4302,1.5859135281493688e+18,@MASK please expedite the process! the money will be use for emergency,0,0
4234,4234,1.1442415331824558e+18,"@MASK @MASK 282,879 people are undertrials in jails across India. 70% of these undertrialsare HINDUS, 21% Muslim, 4% Christian and 4% Sikh.   131,157 convicts, 72% of convicts (95,348) are HINDUS, 16% (21,550) areMuslim, 4% Christian and 6% Sikh.  Highlighted as per government statistics.",0,0
4307,4307,1.585913318077702e+18,"@MASK Oh no, I’m sorry x",0,0
116,116,1.5809293297433969e+18,"From when did the Supreme Court become Parliament, hearing pleas and doing probe of CAA, 370 and demonetisation isn't their work. The government needs to reform the Judiciary otherwise the Judiciary will start controlling the government. Please bring Judicial Reform. ",0,0
610,610,1.5820027326508687e+18,Mason Greenwood will be held in custody for at least five weeks over allegations of attempted rape and other offences.  He is next due to appear in court on 21 November.,0,0
2152,2152,1.5835778433085112e+18,"Boris made lockdown rules that the Queen followed but he broke. Now he’s running to be PM again, and has supporters.  UK Tories are almost as morally bankrupt as our Republicans here in the US. ",2,0
3888,3888,1.5856818233085788e+18,@MASK @MASK @MASK That’s a compliment. IPL has first class bowlers and batters from all around the world all in one tournament. World Cup teams are composed of new players and minnow badgers,0,0
4436,4436,1.5848597298466693e+18,"imagine someone saying this about indira gandhi back when she was elected n giving the context of india’s history of millennia long misogyny to assert that “it matters” .. knowing what we know now, that will be insane",0,0
2779,2779,1.583205696622895e+18,"@MASK @MASK the issue is bringing up is the fact that u r spreading harmful and islamaphobic  misinformation by blaming the backlash that women face on islam when it is cultural, coming from an asian muslim that is not a hijab i can tell u rn that i face a LOT of backlash- ",2,0
2227,2227,1.5835734901661573e+18,"@MASK Nevermind there's a global problem with inflation and democrats are really not too blame.  It's Putin's war, draconian covid lockdown policies in China, corporate greed using the pandemic supply chain shortages as cover, but we don't want to tell the truth, do we Kevin ",1,0
2230,2230,1.5835731812892262e+18,I wish David wasn’t on lockdown so I can change my number,0,0
331,331,1.5820002238195302e+18,@MASK Trust me nobody want to meet with you after that inflation/abortion bs. You’re all SHAMELESS and would sell your own mother for a buck.,2,0
4754,4754,1.5588084261672507e+18,M.S. Golwalkar said in his 1966 book Bunch of Thoughts that Tricolour was ‘not inspired by any national vision’. He never respected Tiranga. Tiranga Virodhi RSS,2,0
4330,4330,1.585912070012539e+18,@MASK @MASK So many of you have ganged up on me without reading my post properly. None of you looked at my account or any of my tweets. It's not difficult to #BeKind. Ganging up on people who are on your side will not save the planet. Psst how can emergency vehicles get pass glued people?,0,0
2414,2414,1.5835407066979697e+18,"@MASK @MASK @MASK You, the problem. Did you know what is VAERS? Do you know how many famous scientifics said about sudden deaths after Covid-19 shots? Scientists, not artists, not politics, not chofers. Read. ",1,0
1694,1694,1.5772217487384904e+18,"@MASK @MASK @MASK @MASK But both you & isis view the same Islam, both are supporting violence & defending mob lynching. Also 10/20 /30 years ago there was no isis. same for love jihad, Mosque demolition, always finding temple under Mosque, lynching.  They also start only few years ago. ",2,0
3730,3730,1.5858450436546929e+18,@MASK RR winning 1st IPL title.,0,0
1399,1399,1.600783738379518e+18,@MASK @MASK Thank u so much for working so hard for Indian army Wishing you lots of love and happiness  Hope u get everything ur heart desires 💜💜💜💜,0,0
3753,3753,1.5858300895936143e+18,@MASK Been saying this for a long time … DK is in the team for only Nidhas trophy fluke and some small IPL contributions here n there,0,0
2723,2723,1.5832364750044692e+18,"@MASK I am so sorry to read this (from Denmark which I do not believe is better). We have election at the moment: war in Ukraine, financial crisis, climate crisis - what not crisis - and issues are ""do you get to choose a nurse without hijab"". It is shameful. You deserve better! ",1,0
3261,3261,1.5835753975808369e+18,"@MASK He's got no footballing vbrsin at all. Madness to let him take that while Forrester is on the pitch. I know he missed his last few but FFS, take your chance with the best player at the club! ",1,0
3598,3598,1.5858478861722624e+18,"@MASK @MASK @MASK Yes it's good, but still yearly salary matters",0,0
1998,1998,1.5834275866042982e+18,@MASK So migrants can understand it better.  Beautiful.,1,0
1469,1469,1.5986642855632937e+18,@MASK I want say to Israeli army kept ít continuously and here in India Indian Army also do it very well,0,0
3792,3792,1.58572460072133e+18,@MASK Could be costly in knock out. Has missed so many easy stumpings in IPL as well.,0,0
61,61,1.581367740199469e+18,"@MASK Sir , there is one man who’s old mom had to stand in a line in Demonetisation . These kind of kids should be kicked on their ass and should railway station for selling tea . ",2,0
4640,4640,1.5820371266814894e+18,@MASK @MASK Sardar Patel is revered but policies are opposite. Mission  winning hearts against implacable enmities based on religious commandments is bewildering. Infinite tolerance will end the tolerant. No country has folllowed  it anytime.,0,0
1906,1906,1.575233478333178e+18,"@MASK The one friend I keep in touch with from high school, white guy, works at JPL.  Half his co-workers are some kind of Asian, and he's worked on several projects with the Indian Space Research Organization (ISRO) ",0,0
1785,1785,1.5743672130873344e+18,"@MASK @MASK Cwg,2G,Coal n many many more. Country was looted like vultures feast on corpse while Dr Manmohan singh was leader of the nation!  Terror attacks,bomb blasts,weak defense,open defecation,weak foreign policies…all thanks to collective efforts of 65yrs of @MASK rule ",2,0
3920,3920,1.5856744102701588e+18,#PAKvsZIM we have to feel for pakistan. They have not played  as per potential. Took the match lightly. Heavey cost.IPL or similar league experience is costing them,0,0
4873,4873,1.5804192374110495e+18,So once again Supreme Court has asked PM modi  to Submit actual report on Demonetisation of 1000 and 500 rupees notes by 9th Nov !  What's your opinion on this !,0,0
1345,1345,1.3029228206164173e+18,"@MASK @MASK @MASK @MASK @MASK Urban thought that only low lying, rural, hilly areas etc will be damaged by floods or environmental hazards but We are not aware of multifaceted adversaries of our actions caused to the Earth and its natural environment.  Wait for more to come. ",1,0
2168,2168,1.5835767804047603e+18,My bio seminar prof bypassing my ADHD coding by forcing us to turn in drafts of our review article,1,0
4879,4879,1.580408310154416e+18,"@MASK What exactly was achieved by introducing 2k notes in place of 1k? What demonetisation? Almost entire cash in circulation in big notes was deposited. Common man suffered the most along with small business, small farmers- everything small. Where are the 2k notes now? ",1,0
4422,4422,1.5859064958956216e+18,"@MASK @MASK I dont suppose in the heat of the moment ! I’m the midst of a emergency ! It came to mind, perhaps the metal pins confused them, who knows ! Everyone making out like there stupid! ALL doctors matter, be grateful for all free NHS care from anyone !!",2,0
1912,1912,1.5751838144561357e+18,"@MASK Hire some professionals, don’t force your scientists to design the new website… ",1,0
5232,5232,1.579051529012908e+18,@MASK @MASK Yes..u don't know anything about demonetisation and economics. Better u go back to ur slavery and better don't comment on things which are above your level.,2,0
1289,1289,1.545046051970683e+18,"@MASK @MASK Rising waters causing global disasters including floods, hurricanes and monsoons in some areas and droughts and wildfires in others (or haven't you noticed?) Loss of crop yields, animals wandering into urban settings to forage. I could go on but I won't but I could. ",1,0
5354,5354,1.5770101584162775e+18,@MASK Failure of demonetisation is a fact. I gave my eg just to highlight that modi declared a salaried person’s savings as black money although rbi received more money than in circulation. Read Money Supply in some graduation economics book first then discuss in detail.,1,0
2409,2409,1.5835412392064614e+18,@MASK @MASK @MASK @MASK Because KF doesn't exist for them to hide behind anymore. So now they have nobody to tell them it's a shit idea. Sucks to be them though when they get caught cause uh...that's prison time and a long stint on the offender registry if I'm right.,0,0
3450,3450,1.5808281971593295e+18,"Meanwhile, MANY old and ailing people, accused under the #UAPA, continue to languish in prisons. Most of them are likely to be acquitted for lack/dubiousness of evidence etc. But in the meantime, how many more times do we want to repeat the tragedy of Stan Swamy & Pandu's deaths? ",1,0
2423,2423,1.5835395118330388e+18,"@MASK @MASK @MASK @MASK I am still alive. Covid-19 has a high chance of killing me or worse(not killing me and lingering). Your missing the point completely. Everything possible to protect myself will be done, even if it's trying to inform others of their social responsibility of preventing the spread. ",0,0
1022,1022,1.5688921790279967e+18,#MaritalRape Wow! So many men objecting against the Marital Rape Law but never dares to ask the female in the house how they have been bearing the pain of living with demons? Totally hypocritical image. As if we didn't have enough problems on our plate than dealing with this.,1,0
2431,2431,1.5837149464705477e+18,@MASK @MASK @MASK @MASK Not allowing dalits into temple is civilised for you? Can a dalit become a priest in temple? Do that first.,1,0
2905,2905,1.57721080916745e+18,@MASK @MASK What is utterly shameful and disgusting is the deception by Muslin boys using Hindu names for 'Love Jihad'!,1,0
5159,5159,1.5797215153395095e+18,"@MASK If the actual records were religiously maintained, the rise in poverty in India could have been associated with the disastrous ""demonetisation"" (and other financial blunders by the Modi Govt since 2014).. people died while queueing outside banks & ATMs but BJP got more donations ",2,0
63,63,1.581346020897616e+18,"@MASK Current government criticises previous government for everything can you able to shoot a single The lalantop show critiquing current government for blunders like Demonetisation, GST with more burden, and  father of all “communalism” with patronage of supreme leaders. U can name ",1,0
